id,buddy_pair_id,learner_id,helper_id,status,started_at,ended_at,ended_by,system_info
72385cad-b145-4513-9369-1ce63736b414,1ad89a69-6530-42c3-a10e-0c1c8f80a155,ba208404-e5e8-44d7-9ad1-af11989c301a,540bd01a-fb73-464f-8408-d3510c743b1a,ended,2026-04-15 18:45:55,2026-04-15 18:46:39,helper,"{""system"":""Operating System: PRETTY_NAME=\""Ubuntu 24.04.4 LTS\""\nNAME=\""Ubuntu\""\nComputer Name: victus-ubuntu\nUser: dhauser\nProcessor: 12th Gen Intel(R) Core(TM) i3-12100F (8 cores)\nMemory: 4.6 GB free of 7.5 GB total (39% used)\nComputer has been on for: 258.6 hours\nDisk Space: /dev/mapper/ubuntu--vg-ubuntu--lv  455G   81G  356G  19% /"",""network"":""Internet Connection: CONNECTED\n\nDNS Resolution: Working\n\nWi-Fi Details:\n\n\nIP Address: 192.168.1.19 172.17.0.1 10.15.11.224\n\nAverage Latency to Google: 21.822ms"",""disk"":""Disk Usage:\nFilesystem                         Size  Used Avail Use% Mounted on\ntmpfs                              770M  2.3M  768M   1% /run\nefivarfs                           256K  167K   85K  67% /sys/firmware/efi/efivars\n/dev/mapper/ubuntu--vg-ubuntu--lv  455G   81G  356G  19% /\ntmpfs                              3.8G  4.0K  3.8G   1% /dev/shm\ntmpfs                              5.0M     0  5.0M   0% /run/lock\n/dev/sda2                          2.0G  105M  1.7G   6% /boot\n/dev/sda1                          1.1G  6.2M  1.1G   1% /boot/efi\ntmpfs                              770M   20K  770M   1% /run/user/1000\n\nUser folder sizes:\nCommand failed: du -sh \""/home/dhauser/Desktop\"" \""/home/dhauser/Downloads\"" \""/home/dhauser/Documents\"" 2>/dev/null"",""battery"":""No battery detected — this appears to be a desktop computer."",""captured_at"":""2026-04-15T18:46:00.389Z""}"
b7f080f7-1696-45c6-8d17-3c36d51057b7,1ad89a69-6530-42c3-a10e-0c1c8f80a155,ba208404-e5e8-44d7-9ad1-af11989c301a,540bd01a-fb73-464f-8408-d3510c743b1a,ended,2026-04-15 18:48:26,2026-04-15 18:49:19,helper,"{""system"":""Operating System: PRETTY_NAME=\""Ubuntu 24.04.4 LTS\""\nNAME=\""Ubuntu\""\nComputer Name: victus-ubuntu\nUser: dhauser\nProcessor: 12th Gen Intel(R) Core(TM) i3-12100F (8 cores)\nMemory: 4.6 GB free of 7.5 GB total (39% used)\nComputer has been on for: 258.7 hours\nDisk Space: /dev/mapper/ubuntu--vg-ubuntu--lv  455G   81G  356G  19% /"",""network"":""Internet Connection: CONNECTED\n\nDNS Resolution: Working\n\nWi-Fi Details:\n\n\nIP Address: 192.168.1.19 172.17.0.1 10.15.11.224\n\nAverage Latency to Google: 21.490ms"",""disk"":""Disk Usage:\nFilesystem                         Size  Used Avail Use% Mounted on\ntmpfs                              770M  2.3M  768M   1% /run\nefivarfs                           256K  167K   85K  67% /sys/firmware/efi/efivars\n/dev/mapper/ubuntu--vg-ubuntu--lv  455G   81G  356G  19% /\ntmpfs                              3.8G  4.0K  3.8G   1% /dev/shm\ntmpfs                              5.0M     0  5.0M   0% /run/lock\n/dev/sda2                          2.0G  105M  1.7G   6% /boot\n/dev/sda1                          1.1G  6.2M  1.1G   1% /boot/efi\ntmpfs                              770M   20K  770M   1% /run/user/1000\n\nUser folder sizes:\nCommand failed: du -sh \""/home/dhauser/Desktop\"" \""/home/dhauser/Downloads\"" \""/home/dhauser/Documents\"" 2>/dev/null"",""battery"":""No battery detected — this appears to be a desktop computer."",""captured_at"":""2026-04-15T18:48:40.047Z""}"
acdbf519-6192-4466-9dd1-ffb9a96b5503,46ffe91e-0ddb-45de-86fc-1c60edb5dc43,16cf4edf-6de4-47ff-b5c0-06cad3d21a22,0d2c60e4-63a1-4818-bc67-cdc0a2bcd4b7,ended,2026-04-16 14:14:22,2026-04-16 14:15:31,helper,"{""system"":""Operating System: PRETTY_NAME=\""Ubuntu 24.04.4 LTS\""\nNAME=\""Ubuntu\""\nComputer Name: victus-ubuntu\nUser: dhauser\nProcessor: 12th Gen Intel(R) Core(TM) i3-12100F (8 cores)\nMemory: 5.0 GB free of 7.5 GB total (33% used)\nComputer has been on for: 278.1 hours\nDisk Space: /dev/mapper/ubuntu--vg-ubuntu--lv  455G   86G  350G  20% /"",""network"":""Internet Connection: CONNECTED\n\nDNS Resolution: Working\n\nWi-Fi Details:\n\n\nIP Address: 192.168.1.19 172.17.0.1 10.15.11.224\n\nAverage Latency to Google: 21.633ms"",""disk"":""Disk Usage:\nFilesystem                         Size  Used Avail Use% Mounted on\ntmpfs                              770M  2.3M  768M   1% /run\nefivarfs                           256K  167K   85K  67% /sys/firmware/efi/efivars\n/dev/mapper/ubuntu--vg-ubuntu--lv  455G   86G  350G  20% /\ntmpfs                              3.8G  4.0K  3.8G   1% /dev/shm\ntmpfs                              5.0M     0  5.0M   0% /run/lock\n/dev/sda2                          2.0G  201M  1.6G  11% /boot\n/dev/sda1                          1.1G  6.2M  1.1G   1% /boot/efi\ntmpfs                              770M   20K  770M   1% /run/user/1000\n\nUser folder sizes:\nCommand failed: du -sh \""/home/dhauser/Desktop\"" \""/home/dhauser/Downloads\"" \""/home/dhauser/Documents\"" 2>/dev/null"",""battery"":""No battery detected — this appears to be a desktop computer."",""captured_at"":""2026-04-16T14:14:29.707Z""}"
